time(s),position(m),velocity(m/s),acceleration(m/s^2)
6.54,-0.0368915,0.055083,0.387615
6.55,-0.0363215,0.0589061,0.376952
6.56,-0.0357138,0.0626209,0.365944
6.57,-0.0350695,0.0662239,0.35461
6.58,-0.0343897,0.0697121,0.342964
6.59,-0.0336756,0.0730822,0.331025
6.6,-0.0329284,0.0763316,0.31881
6.61,-0.0321494,0.0794576,0.306335
6.62,-0.0313397,0.0824575,0.293619
6.63,-0.0305007,0.0853292,0.280679
6.64,-0.0296336,0.0880704,0.267532
6.65,-0.0287397,0.0906792,0.254197
6.66,-0.0278204,0.0931538,0.240691
6.67,-0.0268771,0.0954925,0.227032
6.68,-0.025911,0.097694,0.213238
6.69,-0.0249237,0.0997569,0.199327
6.7,-0.0239164,0.10168,0.185316
6.71,-0.0228905,0.103463,0.171223
6.72,-0.0218476,0.105104,0.157066
6.73,-0.0207889,0.106604,0.142863
6.74,-0.019716,0.107962,0.12863
6.75,-0.0186301,0.109177,0.114385
6.76,-0.0175329,0.110249,0.100145
6.77,-0.0164256,0.11118,0.085928
6.78,-0.0153098,0.111968,0.0717493
6.79,-0.0141867,0.112615,0.0576261
6.8,-0.013058,0.113121,0.0435746
6.81,-0.0119248,0.113487,0.029611
6.82,-0.0107887,0.113713,0.0157509
6.83,-0.00965099,0.113802,0.00200986
6.84,-0.0085131,0.113754,-0.0115968
6.85,-0.00737636,0.113571,-0.0250542
6.86,-0.00624213,0.113253,-0.0383479
6.87,-0.00511173,0.112804,-0.0514634
6.88,-0.00398648,0.112225,-0.064387
6.89,-0.00286767,0.111517,-0.0771052
6.9,-0.00175656,0.110683,-0.0896047
6.91,-0.00065441,0.109726,-0.101873
6.92,0.000437554,0.108647,-0.113897
6.93,0.00151813,0.107449,-0.125666
6.94,0.00258614,0.106134,-0.137168
6.95,0.00364044,0.104706,-0.148392
6.96,0.0046799,0.103167,-0.159326
6.97,0.00570343,0.101521,-0.169962
6.98,0.00670997,0.0997693,-0.180289
6.99,0.00769848,0.0979161,-0.190298
7,0.00866796,0.0959644,-0.19998
7.01,0.00961745,0.0939176,-0.209327
7.02,0.010546,0.091779,-0.218331
7.03,0.0114527,0.0895521,-0.226985
7.04,0.0123368,0.0872405,-0.235282
7.05,0.0131973,0.0848477,-0.243215
7.06,0.0140335,0.0823774,-0.250779
7.07,0.0148446,0.0798334,-0.257968
7.08,0.0156299,0.0772193,-0.264778
7.09,0.0163887,0.0745391,-0.271204
7.1,0.0171205,0.0717966,-0.277242
7.11,0.0178245,0.0689956,-0.282889
7.12,0.0185002,0.0661401,-0.288142
7.13,0.0191471,0.063234,-0.292999
7.14,0.0197647,0.0602814,-0.297458
7.15,0.0203526,0.0572862,-0.301517
7.16,0.0209103,0.0542524,-0.305176
7.17,0.0214375,0.051184,-0.308434
7.18,0.0219339,0.0480851,-0.311292
7.19,0.0223991,0.0449595,-0.313749
7.2,0.022833,0.0418114,-0.315808
7.21,0.0232353,0.0386447,-0.317468
7.22,0.0236059,0.0354634,-0.318734
7.23,0.0239445,0.0322713,-0.319606
7.24,0.0242513,0.0290725,-0.320088
7.25,0.024526,0.0258709,-0.320183
7.26,0.0247687,0.0226702,-0.319894
7.27,0.0249794,0.0194742,-0.319227
7.28,0.0251582,0.0162869,-0.318185
7.29,0.0253052,0.0131118,-0.316774
7.3,0.0254205,0.00995261,-0.314998
7.31,0.0255043,0.006813,-0.312865
7.32,0.0255568,0.00369649,-0.310378
7.33,0.0255783,0.000606581,-0.307546
7.34,0.0255691,-0.00245331,-0.304375
7.35,0.0255294,-0.00547982,-0.300873
7.36,0.0254596,-0.00846968,-0.297045
7.37,0.0253601,-0.0114197,-0.292902
7.38,0.0252313,-0.0143267,-0.288449
7.39,0.0250737,-0.0171877,-0.283697
7.4,0.0248877,-0.0199996,-0.278653
7.41,0.0246739,-0.0227598,-0.273327
7.42,0.0244327,-0.0254653,-0.267727
7.43,0.0241648,-0.0281134,-0.261864
7.44,0.0238707,-0.0307017,-0.255746
7.45,0.023551,-0.0332276,-0.249384
7.46,0.0232063,-0.0356886,-0.242787
7.47,0.0228374,-0.0380826,-0.235966
7.48,0.0224449,-0.0404072,-0.228932
7.49,0.0220295,-0.0426605,-0.221694
7.5,0.0215919,-0.0448404,-0.214263
7.51,0.0211329,-0.0469452,-0.20665
7.52,0.0206533,-0.0489729,-0.198867
7.53,0.0201538,-0.050922,-0.190923
7.54,0.0196351,-0.0527908,-0.182831
7.55,0.0190982,-0.0545781,-0.1746
7.56,0.0185438,-0.0562824,-0.166244
7.57,0.0179728,-0.0579026,-0.157771
7.58,0.0173861,-0.0594375,-0.149195
7.59,0.0167844,-0.0608862,-0.140526
7.6,0.0161686,-0.0622478,-0.131776
7.61,0.0155397,-0.0635215,-0.122955
7.62,0.0148985,-0.0647067,-0.114075
7.63,0.0142459,-0.0658028,-0.105148
7.64,0.0135827,-0.0668095,-0.0961834
7.65,0.01291,-0.0677264,-0.0871934
7.66,0.0122285,-0.0685533,-0.0781888
7.67,0.0115392,-0.0692902,-0.0691805
7.68,0.010843,-0.069937,-0.0601791
7.69,0.0101408,-0.0704938,-0.0511955
7.7,0.00943343,-0.070961,-0.0422402
7.71,0.00872186,-0.0713387,-0.0333236
7.72,0.00800695,-0.0716276,-0.0244558
7.73,0.0072896,-0.0718281,-0.0156472
7.74,0.00657068,-0.0719408,-0.00690744
7.75,0.00585108,-0.0719665,0.00175356
7.76,0.00513164,-0.071906,0.0103263
7.77,0.00441324,-0.0717603,0.0188014
7.78,0.00369672,-0.0715303,0.0271697
7.79,0.00298291,-0.0712173,0.0354223
7.8,0.00227265,-0.0708223,0.0435505
7.81,0.00156673,-0.0703467,0.0515459
7.82,0.000865976,-0.0697918,0.0594001
7.83,0.000171156,-0.0691592,0.0671053
7.84,-0.000516954,-0.0684503,0.0746537
7.85,-0.0011976,-0.0676667,0.0820379
7.86,-0.00187004,-0.0668101,0.0892506
7.87,-0.00253356,-0.0658822,0.096285
7.88,-0.00318746,-0.064885,0.103134
7.89,-0.00383104,-0.0638202,0.109793
7.9,-0.00446364,-0.0626898,0.116254
7.91,-0.00508462,-0.0614958,0.122511
7.92,-0.00569335,-0.0602403,0.128561
7.93,-0.00628923,-0.0589253,0.134396
7.94,-0.00687167,-0.0575531,0.140013
7.95,-0.00744011,-0.0561258,0.145407
7.96,-0.00799401,-0.0546457,0.150574
7.97,-0.00853285,-0.0531151,0.155509
7.98,-0.00905615,-0.0515363,0.16021
7.99,-0.00956343,-0.0499117,0.164673
8,-0.0100542,-0.0482436,0.168894
8.01,-0.0105282,-0.0465346,0.172873
8.02,-0.0109848,-0.044787,0.176605
8.03,-0.0114238,-0.0430033,0.180089
8.04,-0.0118448,-0.0411861,0.183323
8.05,-0.0122474,-0.0393377,0.186306
8.06,-0.0126314,-0.0374608,0.189038
8.07,-0.0129965,-0.0355578,0.191516
8.08,-0.0133425,-0.0336313,0.193741
8.09,-0.0136691,-0.0316838,0.195713
8.1,-0.0139761,-0.0297179,0.197431
8.11,-0.0142634,-0.027736,0.198897
8.12,-0.0145308,-0.0257408,0.20011
8.13,-0.0147782,-0.0237347,0.201073
8.14,-0.0150054,-0.0217202,0.201786
8.15,-0.0152126,-0.0196998,0.20225
8.16,-0.0153994,-0.017676,0.202469
8.17,-0.0155661,-0.0156512,0.202444
8.18,-0.0157125,-0.0136279,0.202177
8.19,-0.0158386,-0.0116085,0.201672
8.2,-0.0159447,-0.00959525,0.200931
8.21,-0.0160306,-0.00759061,0.199957
8.22,-0.0160965,-0.00559686,0.198755
8.23,-0.0161426,-0.00361626,0.197327
8.24,-0.0161689,-0.00165106,0.195678
8.25,-0.0161756,0.000296563,0.193811
8.26,-0.016163,0.00222445,0.191732
8.27,-0.0161312,0.0041305,0.189444
8.28,-0.0160805,0.00601266,0.186953
8.29,-0.016011,0.0078689,0.184264
8.3,-0.0159232,0.00969729,0.181381
8.31,-0.0158172,0.0114959,0.178311
8.32,-0.0156934,0.0132629,0.175058
8.33,-0.0155521,0.0149965,0.171628
8.34,-0.0153936,0.0166949,0.168028
8.35,-0.0152183,0.0183565,0.164263
8.36,-0.0150266,0.0199796,0.160339
8.37,-0.0148188,0.0215627,0.156263
8.38,-0.0145955,0.0231044,0.152041
8.39,-0.0143569,0.0246031,0.147679
8.4,-0.0141035,0.0260575,0.143185
8.41,-0.0138359,0.0274664,0.138564
8.42,-0.0135544,0.0288284,0.133824
8.43,-0.0132595,0.0301425,0.128971
8.44,-0.0129517,0.0314075,0.124013
8.45,-0.0126315,0.0326224,0.118955
8.46,-0.0122994,0.0337863,0.113807
8.47,-0.0119559,0.0348983,0.108573
8.48,-0.0116016,0.0359575,0.103262
8.49,-0.011237,0.0369633,0.0978803
8.5,-0.0108625,0.0379149,0.0924354
8.51,-0.0104788,0.0388118,0.0869344
8.52,-0.0100865,0.0396534,0.0813843
8.53,-0.00968597,0.0404393,0.0757923
8.54,-0.00927788,0.0411691,0.0701654
8.55,-0.00886277,0.0418425,0.0645107
8.56,-0.00844122,0.0424593,0.0588353
8.57,-0.00801378,0.0430192,0.0531461
8.58,-0.00758102,0.0435222,0.0474501
8.59,-0.00714352,0.0439682,0.041754
8.6,-0.00670185,0.0443573,0.0360649
8.61,-0.00625656,0.0446895,0.0303892
8.62,-0.00580824,0.0449651,0.0247338
8.63,-0.00535745,0.0451843,0.0191051
8.64,-0.00490475,0.0453474,0.0135096
8.65,-0.00445069,0.0454546,0.00795363
8.66,-0.00399584,0.0455066,0.00244346
8.67,-0.00354074,0.0455037,-0.0030148
8.68,-0.00308594,0.0454465,-0.00841515
8.69,-0.00263199,0.0453356,-0.0137517
8.7,-0.00217941,0.0451717,-0.0190188
8.71,-0.00172873,0.0449555,-0.0242107
8.72,-0.00128047,0.0446877,-0.0293221
8.73,-0.000835145,0.0443693,-0.0343476
8.74,-0.000393252,0.0440011,-0.0392821
8.75,4.47141e-005,0.043584,-0.0441206
8.76,0.000478269,0.043119,-0.0488582
8.77,0.000906938,0.0426072,-0.0534904
8.78,0.00133026,0.0420496,-0.0580127
8.79,0.00174778,0.0414473,-0.0624207
8.8,0.00215906,0.0408015,-0.0667103
8.81,0.00256367,0.0401135,-0.0708776
8.82,0.00296119,0.0393844,-0.0749187
8.83,0.00335123,0.0386156,-0.0788303
8.84,0.00373338,0.0378083,-0.0826088
8.85,0.00410727,0.0369638,-0.0862511
8.86,0.00447253,0.0360837,-0.0897541
8.87,0.00482883,0.0351692,-0.0931152
8.88,0.00517581,0.0342219,-0.0963316
8.89,0.00551316,0.0332431,-0.099401
8.9,0.00584057,0.0322344,-0.102321
8.91,0.00615775,0.0311972,-0.10509
8.92,0.00646443,0.0301331,-0.107706
8.93,0.00676033,0.0290436,-0.110168
8.94,0.00704522,0.0279302,-0.112473
8.95,0.00731886,0.0267946,-0.114621
8.96,0.00758104,0.0256383,-0.116611
8.97,0.00783156,0.0244629,-0.118442
8.98,0.00807024,0.02327,-0.120113
8.99,0.00829691,0.0220612,-0.121624
9,0.00851142,0.0208381,-0.122975
9.01,0.00871363,0.0196023,-0.124166
9.02,0.00890343,0.0183553,-0.125196
9.03,0.0090807,0.0170989,-0.126067
9.04,0.00924538,0.0158345,-0.126779
9.05,0.00939737,0.0145638,-0.127332
9.06,0.00953664,0.0132884,-0.127728
9.07,0.00966313,0.0120098,-0.127967
9.08,0.00977683,0.0107295,-0.128051
9.09,0.00987772,0.00944925,-0.127982
9.1,0.00996582,0.00817041,-0.12776
9.11,0.0100411,0.00689454,-0.127388
9.12,0.0101037,0.00562314,-0.126868
9.13,0.0101536,0.00435768,-0.126201
9.14,0.0101909,0.0030996,-0.12539
9.15,0.0102156,0.00185034,-0.124438
9.16,0.0102279,0.000611302,-0.123347
9.17,0.0102279,-0.000616137,-0.122119
9.18,0.0102157,-0.00183063,-0.120757
9.19,0.0101913,-0.00303085,-0.119265
9.2,0.0101551,-0.00421551,-0.117646
9.21,0.0101071,-0.00538335,-0.115902
9.22,0.0100475,-0.00653314,-0.114037
9.23,0.00997649,-0.00766369,-0.112054
9.24,0.00989428,-0.00877384,-0.109958
9.25,0.00980108,-0.00986247,-0.107751
9.26,0.00969711,-0.0109285,-0.105437
9.27,0.00958259,-0.0119709,-0.10302
9.28,0.00945777,-0.0129886,-0.100505
9.29,0.00932291,-0.0139806,-0.0978942
9.3,0.00917825,-0.0149462,-0.0951929
9.31,0.00902408,-0.0158842,-0.0924047
9.32,0.00886066,-0.016794,-0.089534
9.33,0.00868829,-0.0176746,-0.0865849
9.34,0.00850727,-0.0185254,-0.0835618
9.35,0.00831789,-0.0193456,-0.080469
9.36,0.00812046,-0.0201346,-0.0773109
9.37,0.0079153,-0.0208916,-0.074092
9.38,0.00770273,-0.0216162,-0.0708166
9.39,0.00748309,-0.0223078,-0.0674892
9.4,0.00725669,-0.0229659,-0.0641144
9.41,0.00702388,-0.02359,-0.0606966
9.42,0.00678501,-0.0241797,-0.0572404
9.43,0.0065404,-0.0247346,-0.0537502
9.44,0.00629043,-0.0252546,-0.0502306
9.45,0.00603543,-0.0257392,-0.046686
9.46,0.00577576,-0.0261882,-0.0431209
9.47,0.00551179,-0.0266015,-0.0395399
9.48,0.00524385,-0.026979,-0.0359473
9.49,0.00497233,-0.0273205,-0.0323474
9.5,0.00469756,-0.0276259,-0.0287448
9.51,0.00441993,-0.0278954,-0.0251438
9.52,0.00413978,-0.0281288,-0.0215485
9.53,0.00385747,-0.0283264,-0.0179633
9.54,0.00357337,-0.0284881,-0.0143923
9.55,0.00328783,-0.0286143,-0.0108396
9.56,0.0030012,-0.028705,-0.00730941
9.57,0.00271384,-0.0287606,-0.00380558
9.58,0.00242611,-0.0287812,-0.000332065
9.59,0.00213834,-0.0287673,0.00310728
9.6,0.00185087,-0.0287192,0.0065087
9.61,0.00156406,-0.0286373,0.0098685
9.62,0.00127824,-0.028522,0.0131831
9.63,0.000993734,-0.0283738,0.016449
9.64,0.000710873,-0.0281932,0.0196627
9.65,0.000429977,-0.0279807,0.022821
9.66,0.000151363,-0.0277369,0.0259206
9.67,-0.000124659,-0.0274625,0.0289584
9.68,-0.000397787,-0.027158,0.0319314
9.69,-0.000667721,-0.0268241,0.0348367
9.7,-0.000934173,-0.0264615,0.0376716
9.71,-0.00119686,-0.0260709,0.0404332
9.72,-0.0014555,-0.0256531,0.0431191
9.73,-0.00170983,-0.0252088,0.0457268
9.74,-0.00195959,-0.0247388,0.0482539
9.75,-0.00220452,-0.024244,0.0506983
9.76,-0.00244439,-0.0237251,0.0530578
9.77,-0.00267895,-0.0231831,0.0553305
9.78,-0.00290798,-0.0226188,0.0575146
9.79,-0.00313126,-0.0220331,0.0596082
9.8,-0.00334857,-0.021427,0.0616098
9.81,-0.00355973,-0.0208012,0.063518
9.82,-0.00376454,-0.0201569,0.0653313
9.83,-0.00396281,-0.0194949,0.0670486
9.84,-0.00415438,-0.0188163,0.0686688
9.85,-0.00433908,-0.0181219,0.0701909
9.86,-0.00451677,-0.0174128,0.071614
9.87,-0.00468729,-0.0166899,0.0729374
9.88,-0.00485052,-0.0159544,0.0741606
9.89,-0.00500634,-0.0152071,0.0752831
9.9,-0.00515463,-0.014449,0.0763046
9.91,-0.00529529,-0.0136813,0.0772248
9.92,-0.00542823,-0.0129049,0.0780436
9.93,-0.00555336,-0.0121208,0.0787611
9.94,-0.00567062,-0.01133,0.0793774
9.95,-0.00577994,-0.0105336,0.0798929
9.96,-0.00588127,-0.00973248,0.0803078
9.97,-0.00597458,-0.00892774,0.0806227
9.98,-0.00605982,-0.00812035,0.0808382
9.99,-0.00613698,-0.0073113,0.0809551
10,-0.00620604,-0.00650158,0.0809741
10.01,-0.00626701,-0.00569215,0.0808963
10.02,-0.00631989,-0.00488397,0.0807227
10.03,-0.0063647,-0.00407801,0.0804544
10.04,-0.00640146,-0.00327519,0.0800927
10.05,-0.00643022,-0.00247646,0.0796391
10.06,-0.00645101,-0.00168272,0.0790948
10.07,-0.00646389,-0.00089486,0.0784615
10.08,-0.00646893,-0.000113775,0.0777409
10.09,-0.00646619,0.000659673,0.0769346
