time(s),position(m),velocity(m/s),acceleration(m/s^2)
1.54,0.191489,1.36772,-3.66559
1.55,0.204981,1.33044,-3.7902
1.56,0.218094,1.29193,-3.90906
1.57,0.230816,1.25227,-4.02206
1.58,0.243135,1.21151,-4.12914
1.59,0.255042,1.16971,-4.23022
1.6,0.266526,1.12693,-4.32524
1.61,0.277578,1.08323,-4.41416
1.62,0.288188,1.03867,-4.49692
1.63,0.298348,0.993308,-4.57349
1.64,0.308052,0.947217,-4.64384
1.65,0.317291,0.900452,-4.70794
1.66,0.326059,0.853079,-4.76578
1.67,0.33435,0.805158,-4.81736
1.68,0.34216,0.756752,-4.86267
1.69,0.349484,0.707925,-4.90173
1.7,0.356318,0.658738,-4.93455
1.71,0.362658,0.609255,-4.96115
1.72,0.368502,0.559536,-4.98156
1.73,0.373848,0.509644,-4.99582
1.74,0.378694,0.45964,-5.00397
1.75,0.38304,0.409585,-5.00607
1.76,0.386886,0.359539,-5.00217
1.77,0.390231,0.309561,-4.99234
1.78,0.393078,0.259712,-4.97664
1.79,0.395426,0.210048,-4.95516
1.8,0.397279,0.160627,-4.92798
1.81,0.39864,0.111507,-4.89519
1.82,0.399511,0.0627419,-4.85687
1.83,0.399896,0.0143874,-4.81314
1.84,0.3998,-0.0335032,-4.7641
1.85,0.399228,-0.0808772,-4.70986
1.86,0.398184,-0.127683,-4.65053
1.87,0.396676,-0.173871,-4.58624
1.88,0.394709,-0.219392,-4.51712
1.89,0.392291,-0.264198,-4.44329
1.9,0.389428,-0.308243,-4.36489
1.91,0.386129,-0.351481,-4.28206
1.92,0.382401,-0.39387,-4.19494
1.93,0.378254,-0.435366,-4.10368
1.94,0.373697,-0.47593,-4.00843
1.95,0.368739,-0.515522,-3.90934
1.96,0.36339,-0.554105,-3.80657
1.97,0.35766,-0.591642,-3.70028
1.98,0.351561,-0.628099,-3.59063
1.99,0.345102,-0.663444,-3.47778
2,0.338295,-0.697644,-3.3619
2.01,0.331153,-0.730672,-3.24316
2.02,0.323686,-0.762499,-3.12173
2.03,0.315907,-0.793098,-2.99779
2.04,0.307828,-0.822447,-2.87149
